Row 0: target=0.0, predict_proba=0.2729
Row 635: target=0.0, predict_proba=0.0775
Row 636: target=0.0, predict_proba=0.4411
Row 637: target=0.0, predict_proba=0.0789
Row 638: target=0.0, predict_proba=0.2711
Row 639: target=0.0, predict_proba=0.1960
Row 640: target=0.0, predict_proba=0.7041
Row 641: target=0.0, predict_proba=0.7704
Row 642: target=0.0, predict_proba=0.2078
Row 643: target=0.0, predict_proba=0.0191
Row 644: target=0.0, predict_proba=0.8722
Row 645: target=0.0, predict_proba=0.1063
Row 646: target=0.0, predict_proba=0.5231
Row 647: target=0.0, predict_proba=0.0407
Row 648: target=0.0, predict_proba=0.1699
Row 649: target=0.0, predict_proba=0.1432
Row 650: target=0.0, predict_proba=0.4486
Row 651: target=0.0, predict_proba=0.4540
Row 652: target=0.0, predict_proba=0.8917
Row 653: target=0.0, predict_proba=0.4852
Row 654: target=0.0, predict_proba=0.0301
Row 655: target=0.0, predict_proba=0.0818
Row 656: target=0.0, predict_proba=0.0442
Row 657: target=0.0, predict_proba=0.0169
Row 658: target=0.0, predict_proba=0.1928
Row 659: target=0.0, predict_proba=0.1126
Row 660: target=0.0, predict_proba=0.0499
Row 661: target=0.0, predict_proba=0.0614
Row 662: target=0.0, predict_proba=0.7899
Row 663: target=0.0, predict_proba=0.9000
Row 664: target=0.0, predict_proba=0.0177
Row 665: target=0.0, predict_proba=0.0436
Row 666: target=0.0, predict_proba=0.3866
Row 667: target=0.0, predict_proba=0.8379
Row 668: target=0.0, predict_proba=0.3472
Row 669: target=0.0, predict_proba=0.0889
Row 670: target=0.0, predict_proba=0.0337
Row 671: target=0.0, predict_proba=0.0148
Row 672: target=0.0, predict_proba=0.0315
Row 673: target=0.0, predict_proba=0.2585
Row 674: target=0.0, predict_proba=0.4382
Row 675: target=0.0, predict_proba=0.4564
Row 676: target=0.0, predict_proba=0.0386
Row 677: target=0.0, predict_proba=0.8074
Row 678: target=1.0, predict_proba=0.5100
Row 679: target=0.0, predict_proba=0.0978
Row 680: target=0.0, predict_proba=0.8108
Row 681: target=0.0, predict_proba=0.3676
Row 682: target=0.0, predict_proba=0.0259
Row 683: target=0.0, predict_proba=0.1473
Row 684: target=0.0, predict_proba=0.4129
Row 685: target=0.0, predict_proba=0.2199
Row 686: target=0.0, predict_proba=0.4705
Row 687: target=0.0, predict_proba=0.1396
Row 688: target=0.0, predict_proba=0.2119
Row 689: target=0.0, predict_proba=0.0576
Row 690: target=0.0, predict_proba=0.0798
Row 691: target=0.0, predict_proba=0.0275
Row 692: target=0.0, predict_proba=0.0741
Row 693: target=0.0, predict_proba=0.0113
Row 694: target=0.0, predict_proba=0.4673
Row 695: target=0.0, predict_proba=0.2673
Row 696: target=0.0, predict_proba=0.0453
Row 697: target=0.0, predict_proba=0.4295
Row 698: target=0.0, predict_proba=0.1035
Row 699: target=0.0, predict_proba=0.0233
Row 700: target=0.0, predict_proba=0.7150
Row 701: target=0.0, predict_proba=0.0831
Row 702: target=0.0, predict_proba=0.3153
Row 703: target=0.0, predict_proba=0.2290
Row 704: target=1.0, predict_proba=0.8866
Row 705: target=1.0, predict_proba=0.7551
Row 706: target=0.0, predict_proba=0.2609
Row 707: target=0.0, predict_proba=0.2448
Row 708: target=0.0, predict_proba=0.0141
Row 709: target=0.0, predict_proba=0.1511
Row 710: target=0.0, predict_proba=0.0081
Row 711: target=0.0, predict_proba=0.0424
Row 712: target=0.0, predict_proba=0.1933
Row 713: target=0.0, predict_proba=0.5417
Row 714: target=0.0, predict_proba=0.2980
Row 715: target=0.0, predict_proba=0.3470
Row 716: target=0.0, predict_proba=0.7615
Row 717: target=0.0, predict_proba=0.1117
Row 718: target=0.0, predict_proba=0.0166
Row 719: target=0.0, predict_proba=0.8178
Row 720: target=0.0, predict_proba=0.3398
Row 721: target=0.0, predict_proba=0.8910
Row 722: target=0.0, predict_proba=0.0929
Row 723: target=0.0, predict_proba=0.0359
Row 724: target=0.0, predict_proba=0.0117
Row 725: target=0.0, predict_proba=0.0372
Row 726: target=0.0, predict_proba=0.8440
Row 727: target=0.0, predict_proba=0.3864
Row 728: target=0.0, predict_proba=0.0199
Row 729: target=0.0, predict_proba=0.1583
Row 730: target=0.0, predict_proba=0.0573
Row 731: target=0.0, predict_proba=0.0399
Row 732: target=0.0, predict_proba=0.3111
Row 733: target=0.0, predict_proba=0.2068
Row 734: target=0.0, predict_proba=0.6133
Row 735: target=1.0, predict_proba=0.6259
Row 736: target=0.0, predict_proba=0.0376
Row 737: target=0.0, predict_proba=0.3588
Row 738: target=0.0, predict_proba=0.1554
Row 739: target=0.0, predict_proba=0.0428
Row 740: target=0.0, predict_proba=0.3173
Row 741: target=0.0, predict_proba=0.6478
Row 742: target=0.0, predict_proba=0.8478
Row 743: target=0.0, predict_proba=0.2556
Row 744: target=0.0, predict_proba=0.0767
Row 745: target=0.0, predict_proba=0.0112
Row 746: target=0.0, predict_proba=0.6909
Row 747: target=0.0, predict_proba=0.5105
Row 748: target=0.0, predict_proba=0.5311
Row 749: target=0.0, predict_proba=0.0202
Row 750: target=0.0, predict_proba=0.4550
Row 751: target=0.0, predict_proba=0.1886
Row 752: target=0.0, predict_proba=0.1702
Row 753: target=0.0, predict_proba=0.7677
Row 754: target=0.0, predict_proba=0.0361
Row 755: target=1.0, predict_proba=0.6294
Row 756: target=0.0, predict_proba=0.2187
Row 757: target=0.0, predict_proba=0.1990
Row 758: target=0.0, predict_proba=0.1018
Row 759: target=1.0, predict_proba=0.9305
Row 760: target=1.0, predict_proba=0.4012
Row 761: target=0.0, predict_proba=0.6797
Row 762: target=0.0, predict_proba=0.2638
Row 763: target=0.0, predict_proba=0.1085
Row 764: target=0.0, predict_proba=0.3994
Row 765: target=0.0, predict_proba=0.1550
Row 766: target=0.0, predict_proba=0.0524
Row 767: target=0.0, predict_proba=0.1042
Row 768: target=0.0, predict_proba=0.5925
Row 769: target=0.0, predict_proba=0.1180
Row 770: target=0.0, predict_proba=0.4214
Row 771: target=0.0, predict_proba=0.2601
Row 772: target=0.0, predict_proba=0.0802
Row 773: target=0.0, predict_proba=0.6520
Row 774: target=0.0, predict_proba=0.0571
Row 775: target=0.0, predict_proba=0.5947
Row 776: target=0.0, predict_proba=0.0396
Row 777: target=0.0, predict_proba=0.0368
Row 778: target=0.0, predict_proba=0.3194
Row 779: target=0.0, predict_proba=0.2988
Row 780: target=1.0, predict_proba=0.7626
Row 781: target=0.0, predict_proba=0.1064
Row 782: target=0.0, predict_proba=0.4649
Row 783: target=0.0, predict_proba=0.0209
Row 784: target=0.0, predict_proba=0.0390
Row 785: target=0.0, predict_proba=0.2500
Row 786: target=0.0, predict_proba=0.0404
Row 787: target=1.0, predict_proba=0.8212
Row 788: target=0.0, predict_proba=0.0155
Row 789: target=0.0, predict_proba=0.6336
Row 790: target=0.0, predict_proba=0.7107
Row 791: target=0.0, predict_proba=0.2576
Row 792: target=0.0, predict_proba=0.7638
Row 793: target=0.0, predict_proba=0.0787
Row 794: target=0.0, predict_proba=0.5383
Row 795: target=0.0, predict_proba=0.0482
Row 796: target=0.0, predict_proba=0.0295
Row 797: target=0.0, predict_proba=0.4589
Row 798: target=0.0, predict_proba=0.6869
Row 799: target=0.0, predict_proba=0.7684
Row 800: target=0.0, predict_proba=0.5774
Row 801: target=0.0, predict_proba=0.2784
Row 802: target=0.0, predict_proba=0.0962
Row 803: target=1.0, predict_proba=0.9018
Row 804: target=0.0, predict_proba=0.5152
Row 805: target=0.0, predict_proba=0.0261
Row 806: target=0.0, predict_proba=0.0159
Row 807: target=0.0, predict_proba=0.3980
Row 808: target=0.0, predict_proba=0.0503
Row 809: target=0.0, predict_proba=0.6408
Row 810: target=0.0, predict_proba=0.0654
Row 811: target=0.0, predict_proba=0.0223
Row 812: target=1.0, predict_proba=0.9634
Row 813: target=0.0, predict_proba=0.7287
Row 814: target=0.0, predict_proba=0.1414
Row 815: target=0.0, predict_proba=0.3823
Row 816: target=0.0, predict_proba=0.0815
Row 817: target=0.0, predict_proba=0.8283
Row 818: target=0.0, predict_proba=0.7341
Row 819: target=0.0, predict_proba=0.1345
Row 820: target=0.0, predict_proba=0.0476
Row 821: target=0.0, predict_proba=0.0366
Row 822: target=0.0, predict_proba=0.2504
Row 823: target=0.0, predict_proba=0.1412
Row 824: target=0.0, predict_proba=0.0413
Row 825: target=0.0, predict_proba=0.2645
Row 826: target=0.0, predict_proba=0.0586
Row 827: target=0.0, predict_proba=0.0258
Row 828: target=0.0, predict_proba=0.8848
Row 829: target=0.0, predict_proba=0.2741
Row 830: target=0.0, predict_proba=0.4100
Row 831: target=0.0, predict_proba=0.0971
Row 832: target=0.0, predict_proba=0.1170
Row 833: target=0.0, predict_proba=0.4894
Row 834: target=1.0, predict_proba=0.4808
Row 835: target=0.0, predict_proba=0.1679
Row 836: target=0.0, predict_proba=0.8520
Row 837: target=0.0, predict_proba=0.6203
Row 838: target=0.0, predict_proba=0.1885
Row 839: target=1.0, predict_proba=0.8822
Row 840: target=0.0, predict_proba=0.0143
Row 841: target=0.0, predict_proba=0.4417
Row 842: target=0.0, predict_proba=0.5482
Row 843: target=0.0, predict_proba=0.0533
Row 844: target=0.0, predict_proba=0.7080
Row 845: target=0.0, predict_proba=0.0313
Row 846: target=0.0, predict_proba=0.0442
Row 847: target=0.0, predict_proba=0.0853
Row 848: target=0.0, predict_proba=0.1188
Row 849: target=0.0, predict_proba=0.4226
Row 850: target=0.0, predict_proba=0.0601
Row 851: target=1.0, predict_proba=0.0504

AUROC trên toàn bộ tập: 0.8539
Precision: 0.2074
Recall: 0.8485
